OutageID,ResourceID,WebURL,Subject,Content,OutageStart,OutageEnd,SiteID
3143,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3143,"Denver - Chicago TeraGrid Link Down","On 2/13 at 11pm Central, the Teragrid link between Denver and Chicago went down.  The outage occurred along a portion of the path that also impacted the first of two backup paths.	That backup path has been rerouted and is now restored.  From 2/13 11pm to 2/14 1030am central, traffic was routed across the second alternative.

During the outage, users may experience reduced capacity when using the network between SDSC or NCAR and the rest of TeraGrid.

The ETR for the primary path is currently 5pm central.",2008-02-13T13:00:00Z,2008-02-14T22:00:00Z,xes.xsede.org
3177,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3177,"ORNL emergency outage","There will be a brief interruption of ORNL services today, 2/29, at 1:30PM Eastern to replae a failing interface card. The outage is expected to be about 15 minutes.",2008-02-29T18:30:00Z,2008-02-29T18:45:00Z,xes.xsede.org
3187,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3187,"ORNL outage","There will be an outage of ORNL resources tomorrow morning, 3/4, from 7-9AM Eastern to troubleshoot ongoing issues with a failing link.",2008-03-04T12:00:00Z,2008-03-04T14:00:00Z,xes.xsede.org
3196,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3196,"Ongoing ORNL issues","There will another brief outage of ORNL resources today, 3/5, at 3PM Eastern for 15 minutes to continue troubleshooting of a failing link.",2008-03-05T20:00:00Z,2008-03-05T20:15:00Z,xes.xsede.org
3207,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3207,"QueenBee Network Outage","There will be a 15 minute outage on the network connection to QueenBee this evening around 11 p.m. CST,  March 7, 2008 while the circuit is rerouted.  This will only effect the connectivity to QueenBee from the outside and should not effect any running jobs.  Sorry for the inconvenience.",2008-03-08T05:00:00Z,2008-03-08T05:15:00Z,xes.xsede.org
3209,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3209,"SBR upgrade 3/9/08","Between 0400 and 0600 UTC 3/9/08 the IPGrid SBR will be rebooted to perform a software upgrade.  Connectivity to resources at IU and Purdue should fall back to other networks and should not be interrupted, though performance may be impacted.  Downtime during the window is expected to be around 10 minutes.",2008-03-09T04:00:00Z,2008-03-09T06:00:00Z,xes.xsede.org
3366,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3366,"PSC ETF Maintenance Schedule June 4","On Wednesday, June 4, between 11AM - 2PM EDT, the PSC networking group will be upgrading its ETF Site Border Router.  During this time, direct connectivity to the ETF backbone will be down or intermittent.  Access to PSC production machines will continue to be provided by Commodity Internet, NLR PacketNet, and Internet2.",2008-06-04T15:00:00Z,2008-06-04T18:00:00Z,xes.xsede.org
3418,gateways.xes.xsede.org,https://www.xsede.org/news/-/news/item/3418,"Partial outage in Inca status pages tonight @ 8:30PM PDT","Allocated users will be unable to view some Inca status pages from 8:30PM PDT - 9:30PM PDT tonight due to database administration.  This affects all HPC resources that Inca monitors.

  http://inca.teragrid.org

For information about resource status during the maintenance period, please contact the TeraGrid help desk.",2008-06-27T03:30:00Z,2008-06-27T04:30:00Z,xes.xsede.org
3503,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3503,"QWEST SCHEDULED FIBER MAINTENANCE NOTIFICATION","QWEST SCHEDULED FIBER MAINTENANCE NOTIFICATION - The link from ORNL to Chicago will be down to relocate fiber jumpers. Traffic should fail to our backup link.",2008-08-20T03:00:00Z,2008-08-20T09:00:00Z,xes.xsede.org
3594,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3594,"PSC Network Maintenance Schedule, September 30, 2008","The PSC networking group will be upgrading the software in its network switches in the PSC machine room on Tuesday, September 30, from 6:30AM to 7:30AM EDT. Connections to production machines as well as support machines will be affected during this upgrade.

We apologize for any inconvenience that this may cause.",2008-09-30T10:30:00Z,2008-09-30T11:30:00Z,xes.xsede.org
3620,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3620,"Emergency Network Maintenance for NCSA","We have an emergency maintenance scheduled for one of NCSA's core network routers from 15:15 through 16:15 today, Thursday, October 2nd, 2008.

We expect the services will be back in production in approximately 15 minutes although we have the full hour reserved.

NCSA's Abe, Cobalt and Mercury HPCs, as well as the Mass Storage services will be unavailable during this time.

Please send questions or concerns to help@teragrid.org",2008-10-02T20:15:00Z,2008-10-02T21:00:00Z,xes.xsede.org
3621,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3621,"Emergency Network Maintenance for NCSA","We have an emergency maintenance scheduled for one of NCSA's core network routers from 15:15 through 16:15 today, Thursday, October 2nd, 2008.

We expect the services will be back in production in approximately 15 minutes although we have the full hour reserved.

NCSA's Abe, Cobalt and Mercury HPCs, as well as the Mass Storage services will be unavailable during this time.

Please send questions or concerns to help@teragrid.org",2008-10-02T20:15:00Z,2008-10-02T21:00:00Z,xes.xsede.org
3647,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3647,"NCSA Connectivity Degraded","Due to an IWIRE link outage, network traffic between NCSA and other TeraGrid sites has been rerouted through non-TeraGrid pathways. This will result in throughput degradation until resolved. We do not yet have an time estimate on the repair, but will post an update as soon as possible.

-Frank
NCSA TeraGrid Operations Center
help@teragrid.org
1.866.907.2383",2008-10-13T14:00:00Z,2008-10-13T21:50:00Z,xes.xsede.org
3654,gateways.xes.xsede.org,https://www.xsede.org/news/-/news/item/3654,"Partial outage in Inca status pages tonight @ 7:00PM PDT","Allocated users will be unable to view some Inca status pages from 7:00PM PDT ¿ 8:00PM PDT tonight due to database administration. This affects all HPC resources that Inca monitors.

http://inca.teragrid.org

For information about resource status during the maintenance period, please contact the TeraGrid help desk.",2008-10-16T23:00:00Z,2008-10-16T23:25:00Z,xes.xsede.org
3687,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3687,"PSC ETF Connection Unavailable November 5","Due to a fiber cut with our service provider, PSC's primary connection to the ETF is down.  Backup routing should be working.  There is currently no ETA on restoration of service.",2008-11-05T19:00:00Z,2008-11-05T22:00:00Z,xes.xsede.org
3852,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3852,"NCSA I-wire Fiber Outage: End-time correctoin","There is currently an i-wire fiber outage between NCSA and Chicago which affects the NCSA Research and Education network peerings including our TeraGrid connectivity.  Repair personnel have been dispatched, and we will send an update when a repair ETA is known.",2009-02-03T16:30:00Z,2009-02-04T02:45:00Z,xes.xsede.org
3877,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3877,"PSC ETF Network Maintenance Schedule","NLR will be upgrading our section of its national footprint starting Wednesday, February 18 and will last approximately 5 days.  During this time, our 3 ETF waves will be down.

Our backup paths will be PacketNet over NLR and Internet2.",2009-02-18T13:00:00Z,2009-02-23T22:00:00Z,xes.xsede.org
3935,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3935,"Fiber Outage","There will be a fiber outage that will affect the ORNL Chicago link. This will affect the Teragrid link to Chicago from ORNL. The maintenance window is schedule between 0300 and 0900 GMT on 3/17/09 and on the 3/18/09. You will see about a 30 minute outage during this time.",2009-03-17T03:00:00Z,2009-03-17T09:00:00Z,xes.xsede.org
3972,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/3972,"ORNL Network Outage","The circuit between Oak Ridge and Chicago was down from about 6:00 AM March 21 until about 6:00 PM on March 23. Initially, I replaced some network gear in Oak Ridge, but that did not fix the problem. After doing some troubleshooting in Chicago, the circuit finally came back up. I apologize for the length of time it took to resolve this issue.",2009-03-21T10:00:00Z,2009-03-23T22:00:00Z,xes.xsede.org
4028,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4028,"Router upgrade","The ORNL Teragrid T320 will be replaced with a T640. This maintenance will be April 29th from 0800ET to 1200ET. The outage should not last the entire four hours.",2009-04-29T12:00:00Z,2009-04-29T16:00:00Z,xes.xsede.org
4101,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4101,"TeraGrid Central Database has new IP address","The TGCDB will be unavailable from 1600 to 1700 Pacific time on Tuesday, June 30, 2009 because we are moving it to the faster TeraGrid network to support the replication server currently being built at PSC.  A reboot is necessary to reconfigure the OS.   A new IP address will be assigned to  tgcdb.sdsc.edu and it will take one hour before DNS servers will be publishing it.  The TeraGrid portal, AMIE, GX-MAP, and other services that rely on the DB will be affected.",2009-07-07T23:00:00Z,2009-07-08T07:35:00Z,xes.xsede.org
4159,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4159,"teragrid TEST & DEVELOPMENT database server upgrade","The TGCDB test and development server azrael will undergo an operating system upgrade to RH5 tomorrow and will be out of service from 8am to 5pm Pac time.  The TGCDB production instance running on hogatha will be unaffected.",2009-07-21T12:00:00Z,2009-07-21T21:00:00Z,xes.xsede.org
4186,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4186,"ORNL Emergency Fiber Maintenance","ORNL will be conducting an emergency fiber maintenance Wednesday morning at 0400 ET. The ORNL circuit will fail over. Please contact me if you have concerns or questions.",2009-08-05T08:00:00Z,2009-08-05T08:30:00Z,xes.xsede.org
4185,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4185,"Partial outage in Inca status pages 8/6 @ 7PM PDT","Allocated users will be unable to view some Inca status pages from 7:00PM PDT until 9:00PM PDT on 8/6 due to a software upgrade. This affects all HPC resources that Inca monitors.

http://inca.teragrid.org

For information about resource status during the maintenance period, please contact the TeraGrid help desk.",2009-08-07T02:00:00Z,2009-08-07T04:00:00Z,xes.xsede.org
4185,gateways.xes.xsede.org,https://www.xsede.org/news/-/news/item/4185,"Partial outage in Inca status pages 8/6 @ 7PM PDT","Allocated users will be unable to view some Inca status pages from 7:00PM PDT until 9:00PM PDT on 8/6 due to a software upgrade. This affects all HPC resources that Inca monitors.

http://inca.teragrid.org

For information about resource status during the maintenance period, please contact the TeraGrid help desk.",2009-08-07T02:00:00Z,2009-08-07T04:00:00Z,xes.xsede.org
4199,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4199,"TGCDB dev & test server azrael maintenance outage","We'll be moving azrael to the TeraGrid network at 10:30am on Thursday, August 13.  The machine and the TGCDB test & dev databases will be unavailable for about an hour.",2009-08-13T17:30:00Z,2009-08-13T18:30:00Z,xes.xsede.org
4231,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4231,"TeraGrid User Portal Login Outage","The TeraGrid User Portal is currently experiencing a problem which prevents users from logging in and accessing the authenticated portions of the portal. We hope to have this resolved soon, and apologize for any inconvenience this may be causing.",2009-08-24T14:00:00Z,2009-08-24T14:30:00Z,xes.xsede.org
